ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0016241,regulation of macroautophagy,Mar-19,191/18805,0.015706806,15.54560485,6.425595413,0.000886541,0.011507483,0.005913356,MAPK8/CASP3/SIRT1,3
GO:0098727,maintenance of cell number,Mar-19,191/18805,0.015706806,15.54560485,6.425595413,0.000886541,0.011507483,0.005913356,HMGA2/SALL4/EZH2,3
GO:0001837,epithelial to mesenchymal transition,Mar-19,192/18805,0.015625,15.46463816,6.40670552,0.000900039,0.011568146,0.005944529,TGFBR1/HMGA2/EZH2,3
GO:1990776,response to angiotensin,Feb-19,45/18805,0.044444444,43.98830409,9.1817384,0.000933011,0.011866002,0.006097588,IGF1R/COL3A1,2
GO:1904018,positive regulation of vasculature development,Mar-19,195/18805,0.015384615,15.22672065,6.350876767,0.000941315,0.011866002,0.006097588,TGFBR1/HMGA2/SIRT1,3
GO:0014014,negative regulation of gliogenesis,Feb-19,46/18805,0.043478261,43.03203661,9.076935944,0.000974834,0.012056669,0.006195567,MYCN/NF1,2
GO:0033574,response to testosterone,Feb-19,46/18805,0.043478261,43.03203661,9.076935944,0.000974834,0.012056669,0.006195567,IGF1R/SIRT1,2
GO:0051338,regulation of transferase activity,Apr-19,463/18805,0.008639309,8.550642264,5.231615386,0.001047968,0.012840058,0.006598127,HMGA2/CCND2/EZH2/SIRT1,4
GO:0045814,"negative regulation of gene expression, epigenetic",Mar-19,206/18805,0.014563107,14.41364333,6.156307866,0.001102919,0.013298095,0.006833498,HMGA2/EZH2/SIRT1,3
GO:0046578,regulation of Ras protein signal transduction,Feb-19,49/18805,0.040816327,40.39742213,8.781738415,0.001105639,0.013298095,0.006833498,NGF/NF1,2
GO:0007623,circadian rhythm,Mar-19,207/18805,0.014492754,14.3440122,6.139362035,0.001118424,0.013329578,0.006849677,MAPK8/EZH2/SIRT1,3
GO:0051098,regulation of binding,Mar-19,209/18805,0.014354067,14.20674893,6.105820866,0.001149848,0.013580641,0.00697869,MAPK8/NGF/HMGA2,3
GO:0022602,ovulation cycle process,Feb-19,53/18805,0.037735849,37.34856008,8.427254539,0.001292438,0.014994563,0.007705264,CASP3/SIRT1,2
GO:0035094,response to nicotine,Feb-19,53/18805,0.037735849,37.34856008,8.427254539,0.001292438,0.014994563,0.007705264,CASP3/IGF1R,2
GO:2000772,regulation of cellular senescence,Feb-19,54/18805,0.037037037,36.65692008,8.344748523,0.001341339,0.015425401,0.007926658,HMGA2/SIRT1,2
GO:0006111,regulation of gluconeogenesis,Feb-19,55/18805,0.036363636,35.99043062,8.264465266,0.001391118,0.01585875,0.008149343,RANBP2/SIRT1,2
GO:2000648,positive regulation of stem cell proliferation,Feb-19,56/18805,0.035714286,35.34774436,8.186305421,0.001441773,0.016294525,0.008373276,TGFBR1/HMGA2,2
GO:0042594,response to starvation,Mar-19,232/18805,0.012931034,12.79832123,5.750530913,0.001552076,0.017391211,0.00893683,MAPK8/IGF1R/SIRT1,3
GO:0048705,skeletal system morphogenesis,Mar-19,233/18805,0.012875536,12.74339282,5.736235515,0.001571317,0.017457602,0.008970946,TGFBR1/MYCN/COL3A1,3
GO:0097191,extrinsic apoptotic signaling pathway,Mar-19,237/18805,0.012658228,12.52831446,5.679919573,0.001649786,0.018060331,0.009280671,TGFBR1/NGF/NF1,3
GO:0010718,positive regulation of epithelial to mesenchymal transition,Feb-19,60/18805,0.033333333,32.99122807,7.893117674,0.00165312,0.018060331,0.009280671,TGFBR1/EZH2,2
GO:0045604,regulation of epidermal cell differentiation,Feb-19,61/18805,0.032786885,32.45038827,7.824283063,0.00170813,0.018377935,0.009443879,MYCN/EZH2,2
GO:0008406,gonad development,Mar-19,240/18805,0.0125,12.37171053,5.638566448,0.001710227,0.018377935,0.009443879,CASP3/TGFBR1/SIRT1,3
GO:0051932,"synaptic transmission, GABAergic",Feb-19,62/18805,0.032258065,31.92699491,7.757089061,0.001764006,0.018650091,0.009583731,NF1/EZH2,2
GO:0140719,constitutive heterochromatin formation,Feb-19,62/18805,0.032258065,31.92699491,7.757089061,0.001764006,0.018650091,0.009583731,EZH2/SIRT1,2
GO:0045137,development of primary sexual characteristics,Mar-19,245/18805,0.012244898,12.11922664,5.571259675,0.001814028,0.018944429,0.009734983,CASP3/TGFBR1/SIRT1,3
GO:0008347,glial cell migration,Feb-19,63/18805,0.031746032,31.42021721,7.691470548,0.001820746,0.018944429,0.009734983,NF1/COL3A1,2
GO:0009913,epidermal cell differentiation,Mar-19,251/18805,0.011952191,11.82952401,5.493033098,0.001943712,0.019907864,0.010230064,CASP3/MYCN/EZH2,3
GO:0033002,muscle cell proliferation,Mar-19,251/18805,0.011952191,11.82952401,5.493033098,0.001943712,0.019907864,0.010230064,IGF1R/TGFBR1/NF1,3
GO:0034599,cellular response to oxidative stress,Mar-19,254/18805,0.011811024,11.68980522,5.454912019,0.002010676,0.020423004,0.010494779,MAPK8/EZH2/SIRT1,3
GO:0048863,stem cell differentiation,Mar-19,256/18805,0.01171875,11.59847862,5.429852381,0.002056113,0.020423004,0.010494779,HMGA2/CHD4/EZH2,3
GO:0034605,cellular response to heat,Feb-19,67/18805,0.029850746,29.54438335,7.443568888,0.002056321,0.020423004,0.010494779,NF1/SIRT1,2
GO:0070301,cellular response to hydrogen peroxide,Feb-19,67/18805,0.029850746,29.54438335,7.443568888,0.002056321,0.020423004,0.010494779,EZH2/SIRT1,2
GO:0045682,regulation of epidermis development,Feb-19,68/18805,0.029411765,29.10990712,7.38496772,0.00211736,0.020715361,0.010645013,MYCN/EZH2,2
GO:0051057,positive regulation of small GTPase mediated signal transduction,Feb-19,68/18805,0.029411765,29.10990712,7.38496772,0.00211736,0.020715361,0.010645013,NGF/COL3A1,2
GO:0043525,positive regulation of neuron apoptotic process,Feb-19,69/18805,0.028985507,28.68802441,7.327618297,0.002179253,0.021162969,0.010875025,CASP3/NF1,2
GO:1902808,positive regulation of cell cycle G1/S phase transition,Feb-19,71/18805,0.028169014,27.87991105,7.216498178,0.002305598,0.02222529,0.011420921,CCND2/EZH2,2
GO:0051101,regulation of DNA binding,Feb-19,72/18805,0.027777778,27.49269006,7.162644607,0.002370047,0.022679791,0.011654475,NGF/HMGA2,2
GO:0060415,muscle tissue morphogenesis,Feb-19,73/18805,0.02739726,27.11607787,7.109876762,0.002435344,0.023135764,0.011888786,TGFBR1/COL3A1,2
GO:0090068,positive regulation of cell cycle process,Mar-19,274/18805,0.010948905,10.83653477,5.216182136,0.002494172,0.023383835,0.012016263,IGF1R/CCND2/EZH2,3
GO:0071260,cellular response to mechanical stimulus,Feb-19,74/18805,0.027027027,26.74964438,7.058158003,0.002501487,0.023383835,0.012016263,MAPK8/IGF1R,2
GO:0048762,mesenchymal cell differentiation,Mar-19,275/18805,0.010909091,10.79712919,5.20489814,0.002520072,0.023383835,0.012016263,TGFBR1/HMGA2/EZH2,3
GO:0003281,ventricular septum development,Feb-19,75/18805,0.026666667,26.39298246,7.0074534,0.002568476,0.023383835,0.012016263,TGFBR1/SALL4,2
GO:0071479,cellular response to ionizing radiation,Feb-19,75/18805,0.026666667,26.39298246,7.0074534,0.002568476,0.023383835,0.012016263,CCND2/SIRT1,2
GO:0071496,cellular response to external stimulus,Feb-19,75/18805,0.026666667,26.39298246,7.0074534,0.002568476,0.023383835,0.012016263,MAPK8/IGF1R,2
GO:0007611,learning or memory,Mar-19,282/18805,0.010638298,10.52911534,5.127506709,0.002706079,0.02446669,0.01257271,CASP3/NF1/CCND2,3
GO:0001937,negative regulation of endothelial cell proliferation,Feb-19,79/18805,0.025316456,25.05662891,6.814132402,0.002844852,0.025545213,0.013126931,TGFBR1/NF1,2
GO:0045685,regulation of glial cell differentiation,Feb-19,80/18805,0.025,24.74342105,6.76802785,0.002916043,0.025830626,0.013273597,MYCN/NF1,2
GO:1904019,epithelial cell apoptotic process,Feb-19,80/18805,0.025,24.74342105,6.76802785,0.002916043,0.025830626,0.013273597,CASP3/IGF1R,2
GO:0048644,muscle organ morphogenesis,Feb-19,81/18805,0.024691358,24.43794672,6.722758626,0.00298807,0.026291006,0.013510172,TGFBR1/COL3A1,2
GO:0043542,endothelial cell migration,Mar-19,293/18805,0.010238908,10.13382432,5.011232543,0.003015241,0.026353207,0.013542136,TGFBR1/NF1/SIRT1,3
GO:0045165,cell fate commitment,Mar-19,295/18805,0.010169492,10.06512043,4.990753722,0.003073699,0.026686219,0.01371326,CASP3/TGFBR1/CHD4,3
GO:0007548,sex differentiation,Mar-19,296/18805,0.010135135,10.03111664,4.980587704,0.003103189,0.026765007,0.013753747,CASP3/TGFBR1/SIRT1,3
GO:0097009,energy homeostasis,Feb-19,84/18805,0.023809524,23.56516291,6.59171402,0.003209149,0.027319445,0.014038657,MAPK8/SIRT1,2
GO:2000736,regulation of stem cell differentiation,Feb-19,84/18805,0.023809524,23.56516291,6.59171402,0.003209149,0.027319445,0.014038657,CHD4/EZH2,2
GO:0051056,regulation of small GTPase mediated signal transduction,Mar-19,303/18805,0.00990099,9.799374674,4.910758182,0.003314541,0.028034602,0.014406155,NGF/NF1/COL3A1,3
GO:0001843,neural tube closure,Feb-19,86/18805,0.023255814,23.01713586,6.508089077,0.003360685,0.028062788,0.014420639,CASP3/SALL4,2
GO:0008625,extrinsic apoptotic signaling pathway via death domain receptors,Feb-19,86/18805,0.023255814,23.01713586,6.508089077,0.003360685,0.028062788,0.014420639,NGF/NF1,2
GO:0060606,tube closure,Feb-19,87/18805,0.022988506,22.75257108,6.46733361,0.003437693,0.028524147,0.014657717,CASP3/SALL4,2
GO:0050810,regulation of steroid biosynthetic process,Feb-19,88/18805,0.022727273,22.49401914,6.42725617,0.003515525,0.028986502,0.014895308,IGF1R/SIRT1,2
GO:0006094,gluconeogenesis,Feb-19,89/18805,0.02247191,22.24127735,6.387837762,0.003594181,0.029449823,0.015133395,RANBP2/SIRT1,2
